Fecha,Zona,Valor
2026-03-23 17:00:00+00:00,Francia,565.27
2026-03-23 17:00:00+00:00,Bélgica,836.3
2026-03-23 17:00:00+00:00,Alemania,1052.04
2026-03-23 17:00:00+00:00,España,154.01
2026-03-23 18:00:00+00:00,Alemania,966.24
2026-03-23 18:00:00+00:00,Bélgica,911.38
2026-03-23 18:00:00+00:00,España,430.37
2026-03-23 18:00:00+00:00,Francia,858.6
2026-03-23 18:00:00+00:00,Países Bajos,955.61
2026-03-23 18:00:00+00:00,Portugal,430.37
2026-03-23 19:00:00+00:00,Francia,652.03
2026-03-23 19:00:00+00:00,Países Bajos,797.98
2026-03-23 19:00:00+00:00,Portugal,585.6
2026-03-23 19:00:00+00:00,España,585.6
2026-03-23 19:00:00+00:00,Alemania,826.35
2026-03-23 19:00:00+00:00,Bélgica,773.37
2026-03-23 20:00:00+00:00,Alemania,709.28
2026-03-23 20:00:00+00:00,Bélgica,642.02
2026-03-23 20:00:00+00:00,España,483.76
2026-03-23 20:00:00+00:00,Francia,483.76
2026-03-23 20:00:00+00:00,Países Bajos,672.34
2026-03-23 20:00:00+00:00,Portugal,483.76
2026-03-23 21:00:00+00:00,Portugal,390.99
2026-03-23 21:00:00+00:00,Países Bajos,608.76
2026-03-23 21:00:00+00:00,Francia,520.31
2026-03-23 21:00:00+00:00,España,390.99
2026-03-23 21:00:00+00:00,Bélgica,592.7
2026-03-23 21:00:00+00:00,Alemania,622.96
2026-03-23 22:00:00+00:00,Alemania,561.8
2026-03-23 22:00:00+00:00,Bélgica,533.23
2026-03-23 22:00:00+00:00,España,255.82
2026-03-23 22:00:00+00:00,Francia,464.26
2026-03-23 22:00:00+00:00,Países Bajos,548.23
2026-03-23 22:00:00+00:00,Portugal,255.82
2026-03-23 23:00:00+00:00,Países Bajos,535.27
2026-03-23 23:00:00+00:00,Francia,349.9
2026-03-23 23:00:00+00:00,Portugal,269.03
2026-03-23 23:00:00+00:00,Bélgica,501.42
2026-03-23 23:00:00+00:00,Alemania,564.25
2026-03-23 23:00:00+00:00,España,269.03
2026-03-24 00:00:00+00:00,Alemania,497.27
2026-03-24 00:00:00+00:00,Bélgica,438.19
2026-03-24 00:00:00+00:00,España,232.6
2026-03-24 00:00:00+00:00,Francia,290.52
2026-03-24 00:00:00+00:00,Países Bajos,469.84
2026-03-24 00:00:00+00:00,Portugal,232.6
2026-03-24 01:00:00+00:00,Países Bajos,414.29
2026-03-24 01:00:00+00:00,Francia,243.34
2026-03-24 01:00:00+00:00,Portugal,230.47
2026-03-24 01:00:00+00:00,Bélgica,383.18
2026-03-24 01:00:00+00:00,Alemania,439.99
2026-03-24 01:00:00+00:00,España,230.47
2026-03-24 02:00:00+00:00,Países Bajos,384.05
2026-03-24 02:00:00+00:00,Francia,233.6
2026-03-24 02:00:00+00:00,Portugal,233.6
2026-03-24 02:00:00+00:00,Bélgica,356.43
2026-03-24 02:00:00+00:00,Alemania,406.56
2026-03-24 02:00:00+00:00,España,233.6
2026-03-24 03:00:00+00:00,Alemania,401.5
2026-03-24 03:00:00+00:00,Bélgica,352.75
2026-03-24 03:00:00+00:00,España,232.56
2026-03-24 03:00:00+00:00,Francia,232.56
2026-03-24 03:00:00+00:00,Países Bajos,379.35
2026-03-24 03:00:00+00:00,Portugal,232.56
2026-03-24 04:00:00+00:00,Portugal,265.81
2026-03-24 04:00:00+00:00,Francia,265.81
2026-03-24 04:00:00+00:00,Países Bajos,384.33
2026-03-24 04:00:00+00:00,Bélgica,366.59
2026-03-24 04:00:00+00:00,Alemania,403.89
2026-03-24 04:00:00+00:00,España,265.81
2026-03-24 05:00:00+00:00,Alemania,443.27
2026-03-24 05:00:00+00:00,Bélgica,427.19
2026-03-24 05:00:00+00:00,España,365.69
2026-03-24 05:00:00+00:00,Francia,365.69
2026-03-24 05:00:00+00:00,Países Bajos,427.92
2026-03-24 05:00:00+00:00,Portugal,332.29
2026-03-24 06:00:00+00:00,Portugal,408.3
2026-03-24 06:00:00+00:00,Países Bajos,452.52
2026-03-24 06:00:00+00:00,Francia,452.19
2026-03-24 06:00:00+00:00,España,440.64
2026-03-24 06:00:00+00:00,Bélgica,453.14
2026-03-24 06:00:00+00:00,Alemania,452.19
2026-03-24 07:00:00+00:00,Alemania,389.83
2026-03-24 07:00:00+00:00,Bélgica,391.19
2026-03-24 07:00:00+00:00,España,216.53
2026-03-24 07:00:00+00:00,Francia,392.0
2026-03-24 07:00:00+00:00,Países Bajos,390.57
2026-03-24 07:00:00+00:00,Portugal,216.53
2026-03-24 08:00:00+00:00,Países Bajos,283.67
2026-03-24 08:00:00+00:00,Francia,271.82
2026-03-24 08:00:00+00:00,Portugal,34.02
2026-03-24 08:00:00+00:00,Bélgica,280.84
2026-03-24 08:00:00+00:00,Alemania,283.62
2026-03-24 08:00:00+00:00,España,34.02
2026-03-24 09:00:00+00:00,Alemania,94.91
2026-03-24 09:00:00+00:00,Bélgica,90.85
2026-03-24 09:00:00+00:00,España,0.84
2026-03-24 09:00:00+00:00,Francia,70.78
2026-03-24 09:00:00+00:00,Países Bajos,98.0
2026-03-24 09:00:00+00:00,Portugal,0.84
2026-03-24 10:00:00+00:00,Países Bajos,19.87
2026-03-24 10:00:00+00:00,Francia,1.28
2026-03-24 10:00:00+00:00,Portugal,-0.03
2026-03-24 10:00:00+00:00,Bélgica,12.02
2026-03-24 10:00:00+00:00,Alemania,4.78
2026-03-24 10:00:00+00:00,España,-0.03
2026-03-24 11:00:00+00:00,Países Bajos,5.29
2026-03-24 11:00:00+00:00,Francia,0.0
2026-03-24 11:00:00+00:00,Portugal,-0.14
